extractor,reducer,classifier,train_time,inference_time,accuracy,precision,recall,f1
"TF-IDF (max_features=10000, ngram_range=(1, 2), min_df=2, max_df=0.8)","TruncatedSVD (n_components=4000, random_state=42)","Logistic Regression (C=10.0, max_iter=1000, random_state=42)",81.40054821968079,0.10064668223277536,0.8103266596417281,0.8039214651360662,0.8103266596417281,0.8022789742016174
"TF-IDF (max_features=10000, ngram_range=(1, 2), min_df=2, max_df=0.8)",None,"Logistic Regression (C=10.0, max_iter=1000, random_state=42)",0.7084681987762451,0.01238784247379283,0.809799789251844,0.803566143690438,0.809799789251844,0.8009500817508098
"TF-IDF (max_features=5000, ngram_range=(1, 2), min_df=2, max_df=0.8)",None,"Logistic Regression (C=10.0, max_iter=1000, random_state=42)",0.7683064937591553,0.017351043990590422,0.8024236037934668,0.7959266461080237,0.8024236037934668,0.7960688218096533
"TF-IDF (max_features=5000, ngram_range=(1, 2), min_df=2, max_df=0.8)","TruncatedSVD (n_components=4000, random_state=42)","Logistic Regression (C=10.0, max_iter=1000, random_state=42)",61.64577078819275,0.06392607573337374,0.8018967334035827,0.7955599828285727,0.8018967334035827,0.7957299839655299
"TF-IDF (max_features=5000, ngram_range=(1, 2), min_df=2, max_df=0.8)",None,Naive Bayes (alpha=1.0),0.2886512279510498,0.013595009252067863,0.7676501580611169,0.7813139551133037,0.7676501580611169,0.7367951289198575
"TF-IDF (max_features=10000, ngram_range=(1, 2), min_df=2, max_df=0.8)",None,Naive Bayes (alpha=1.0),0.24760150909423828,0.014948643924564405,0.7476290832455216,0.7701537505334335,0.7476290832455216,0.7034351647268681
